RegionalMember,Year,GrossDomesticProductGrowthPerYearPercentage,Subregion,CountryCode
Afghanistan,2013,5.7,South Asia,AFG
Afghanistan,2014,2.7,South Asia,AFG
Afghanistan,2015,1.3,South Asia,AFG
Afghanistan,2016,2.4,South Asia,AFG
Afghanistan,2017,2.5,South Asia,AFG
Afghanistan,2018,2.5,South Asia,AFG
Afghanistan,2019,2.5,South Asia,AFG
Armenia,2013,3.3,Central Asia,ARM
Armenia,2014,3.6,Central Asia,ARM
Armenia,2015,3.2,Central Asia,ARM
Armenia,2016,0.2,Central Asia,ARM
Armenia,2017,7.5,Central Asia,ARM
Armenia,2018,4,Central Asia,ARM
Armenia,2019,4.2,Central Asia,ARM
Azerbaijan,2013,5.8,Central Asia,AZE
Azerbaijan,2014,2.8,Central Asia,AZE
Azerbaijan,2015,1.1,Central Asia,AZE
Azerbaijan,2016,-3.1,Central Asia,AZE
Azerbaijan,2017,0.1,Central Asia,AZE
Azerbaijan,2018,1.7,Central Asia,AZE
Azerbaijan,2019,2,Central Asia,AZE
Bangladesh,2013,6,South Asia,BGD
Bangladesh,2014,6.1,South Asia,BGD
Bangladesh,2015,6.6,South Asia,BGD
Bangladesh,2016,7.1,South Asia,BGD
Bangladesh,2017,7.3,South Asia,BGD
Bangladesh,2018,7,South Asia,BGD
Bangladesh,2019,7.2,South Asia,BGD
Bhutan,2013,3.6,South Asia,BTN
Bhutan,2014,4,South Asia,BTN
Bhutan,2015,6.2,South Asia,BTN
Bhutan,2016,7.3,South Asia,BTN
Bhutan,2017,7.5,South Asia,BTN
Bhutan,2018,7.1,South Asia,BTN
Bhutan,2019,7.4,South Asia,BTN
Brunei Darussalam,2013,-2.1,Southeast Asia,BRN
Brunei Darussalam,2014,-2.5,Southeast Asia,BRN
Brunei Darussalam,2015,-0.4,Southeast Asia,BRN
Brunei Darussalam,2016,-2.5,Southeast Asia,BRN
Brunei Darussalam,2017,0.8,Southeast Asia,BRN
Brunei Darussalam,2018,1.5,Southeast Asia,BRN
Brunei Darussalam,2019,2,Southeast Asia,BRN
Cambodia,2013,7.4,Southeast Asia,KHM
Cambodia,2014,7.1,Southeast Asia,KHM
Cambodia,2015,7,Southeast Asia,KHM
Cambodia,2016,7,Southeast Asia,KHM
Cambodia,2017,7,Southeast Asia,KHM
Cambodia,2018,7,Southeast Asia,KHM
Cambodia,2019,7,Southeast Asia,KHM
Central Asia,2013,6.6,Central Asia,
Central Asia,2014,5.1,Central Asia,
Central Asia,2015,3.1,Central Asia,
Central Asia,2016,2.7,Central Asia,
Central Asia,2017,4.3,Central Asia,
Central Asia,2018,4,Central Asia,
Central Asia,2019,4.2,Central Asia,
Cook Islands,2013,0.5,The Pacific,COK
