RegionalMember,Year,TradeBalanceInUSDollarMillion,Subregion,CountryCode
Central Asia,2013,"49,418",Central Asia,
Armenia,2013,"-2,196",Central Asia,ARM
Azerbaijan,2013,"20,621",Central Asia,AZE
Georgia,2013,"-3,493",Central Asia,GEO
Kazakhstan,2013,"34,792",Central Asia,KAZ
Kyrgyz Republic,2013,"-2,780",Central Asia,KGZ
Tajikistan,2013,"-2,958",Central Asia,TJK
Turkmenistan,2013,"4,032",Central Asia,TKM
Uzbekistan,2013,"1,400",Central Asia,UZB
East Asia,2013,"465,798",East Asia,
"Hong Kong, China",2013,"-27,913",East Asia,HKG
Mongolia,2013,"-2,619",East Asia,MNG
People's Republic of China,2013,"358,981",East Asia,CHN
Republic of Korea,2013,"82,781",East Asia,KOR
"Taipei,China",2013,"54,567",East Asia,TWN
South Asia,2013,"-193,044",South Asia,
Afghanistan,2013,"-8,450",South Asia,AFG
Bangladesh,2013,"-7,009",South Asia,BGD
Bhutan,2013,-377,South Asia,BTN
India,2013,"-147,609",South Asia,IND
Maldives,2013,"-1,372",South Asia,MDV
Nepal,2013,"-5,263",South Asia,NPL
Pakistan,2013,"-15,355",South Asia,PAK
Sri Lanka,2013,"-7,609",South Asia,LKA
Southeast Asia,2013,"100,789",Southeast Asia,
Brunei Darussalam,2013,"6,924",Southeast Asia,BRN
Cambodia,2013,"-3,494",Southeast Asia,KHM
Indonesia,2013,"5,833",Southeast Asia,IDN
Lao People’s Dem. Rep.,2013,"-3,299",Southeast Asia,LAO
Malaysia,2013,"30,642",Southeast Asia,MYS
Myanmar,2013,"-3,053",Southeast Asia,MMR
Philippines,2013,"-17,662",Southeast Asia,PHL
Singapore,2013,"76,145",Southeast Asia,SGP
Thailand,2013,40,Southeast Asia,THA
Viet Nam,2013,"8,713",Southeast Asia,VNM
The Pacific,2013,"-3,568",The Pacific,
Cook Islands,2013,-104,The Pacific,COK
Federated States of Micronesia,2013,-129,The Pacific,FSM
Fiji,2013,"-1,159",The Pacific,FJI
Kiribati,2013,-90,The Pacific,KIR
Marshall Islands,2013,-61,The Pacific,MHL
Nauru,2013,5,The Pacific,NRU
Palau,2013,-133,The Pacific,PLW
Papua New Guinea,2013,-517,The Pacific,PNG
Samoa,2013,-281,The Pacific,WSM
Solomon Islands,2013,-16,The Pacific,SLB
Timor-Leste,2013,-679,The Pacific,TLS
Tonga,2013,-172,The Pacific,TON
Tuvalu,2013,-13,The Pacific,TUV
Vanuatu,2013,-217,The Pacific,VUT
Developing Asia,2013,"419,393",Developing Asia,
Developing Asia excluding NIEs,2013,"233,812",Developing Asia excluding NIEs,
Central Asia,2014,"45,022",Central Asia,
Armenia,2014,"-2,055",Central Asia,ARM
Azerbaijan,2014,"18,928",Central Asia,AZE
Georgia,2014,"-4,280",Central Asia,GEO
Kazakhstan,2014,"36,245",Central Asia,KAZ
Kyrgyz Republic,2014,"-2,808",Central Asia,KGZ
Tajikistan,2014,"-3,361",Central Asia,TJK
Turkmenistan,2014,"4,143",Central Asia,TKM
Uzbekistan,2014,"-1,790",Central Asia,UZB
East Asia,2014,"551,904",East Asia,
"Hong Kong, China",2014,"-32,359",East Asia,HKG
Mongolia,2014,146,East Asia,MNG
People's Republic of China,2014,"435,042",East Asia,CHN
Republic of Korea,2014,"88,885",East Asia,KOR
"Taipei,China",2014,"60,191",East Asia,TWN
South Asia,2014,"-190,595",South Asia,
Afghanistan,2014,"-5,854",South Asia,AFG
Bangladesh,2014,"-6,794",South Asia,BGD
Bhutan,2014,-393,South Asia,BTN
India,2014,"-144,939",South Asia,IND
Maldives,2014,"-1,660",South Asia,MDV
Nepal,2014,"-6,079",South Asia,NPL
Pakistan,2014,"-16,590",South Asia,PAK
Sri Lanka,2014,"-8,287",South Asia,LKA
Southeast Asia,2014,"137,221",Southeast Asia,
Brunei Darussalam,2014,"7,443",Southeast Asia,BRN
Cambodia,2014,"-3,483",Southeast Asia,KHM
Indonesia,2014,"6,983",Southeast Asia,IDN
Lao People’s Dem. Rep.,2014,"-3,518",Southeast Asia,LAO
Malaysia,2014,"34,626",Southeast Asia,MYS
Myanmar,2014,"-1,859",Southeast Asia,MMR
Philippines,2014,"-17,330",Southeast Asia,PHL
Singapore,2014,"85,032",Southeast Asia,SGP
Thailand,2014,"17,201",Southeast Asia,THA
Viet Nam,2014,"12,126",Southeast Asia,VNM
The Pacific,2014,"1,378",The Pacific,
Cook Islands,2014,-102,The Pacific,COK
Federated States of Micronesia,2014,-117,The Pacific,FSM
Fiji,2014,"-1,027",The Pacific,FJI
Kiribati,2014,-90,The Pacific,KIR
Marshall Islands,2014,-60,The Pacific,MHL
Nauru,2014,-32,The Pacific,NRU
Palau,2014,-160,The Pacific,PLW
Papua New Guinea,2014,"4,248",The Pacific,PNG
Samoa,2014,-309,The Pacific,WSM
Solomon Islands,2014,-5,The Pacific,SLB
Timor-Leste,2014,-602,The Pacific,TLS
Tonga,2014,-170,The Pacific,TON
Tuvalu,2014,-9,The Pacific,TUV
Vanuatu,2014,-187,The Pacific,VUT
Developing Asia,2014,"544,929",Developing Asia,
Developing Asia excluding NIEs,2014,"343,180",Developing Asia excluding NIEs,
Central Asia,2015,"7,901",Central Asia,
Armenia,2015,"-1,186",Central Asia,ARM
Azerbaijan,2015,"5,812",Central Asia,AZE
Georgia,2015,"-4,356",Central Asia,GEO
Kazakhstan,2015,"12,672",Central Asia,KAZ
Kyrgyz Republic,2015,"-2,241",Central Asia,KGZ
Tajikistan,2015,"-2,544",Central Asia,TJK
Turkmenistan,2015,"1,485",Central Asia,TKM
Uzbekistan,2015,"-1,740",Central Asia,UZB
East Asia,2015,"749,251",East Asia,
"Hong Kong, China",2015,"-22,871",East Asia,HKG
Mongolia,2015,566,East Asia,MNG
People's Republic of China,2015,"576,191",East Asia,CHN
Republic of Korea,2015,"122,269",East Asia,KOR
"Taipei,China",2015,"73,095",East Asia,TWN
South Asia,2015,"-178,560",South Asia,
Afghanistan,2015,"-7,086",South Asia,AFG
Bangladesh,2015,"-6,965",South Asia,BGD
Bhutan,2015,-430,South Asia,BTN
India,2015,"-130,079",South Asia,IND
Maldives,2015,"-1,655",South Asia,MDV
Nepal,2015,"-6,689",South Asia,NPL
Pakistan,2015,"-17,267",South Asia,PAK
Sri Lanka,2015,"-8,389",South Asia,LKA
Southeast Asia,2015,"134,318",Southeast Asia,
Brunei Darussalam,2015,"2,910",Southeast Asia,BRN
Cambodia,2015,"-3,638",Southeast Asia,KHM
Indonesia,2015,"14,049",Southeast Asia,IDN
Lao People’s Dem. Rep.,2015,"-3,624",Southeast Asia,LAO
Malaysia,2015,"27,967",Southeast Asia,MYS
Myanmar,2015,"-4,048",Southeast Asia,MMR
Philippines,2015,"-23,309",Southeast Asia,PHL
Singapore,2015,"89,817",Southeast Asia,SGP
Thailand,2015,"26,798",Southeast Asia,THA
Viet Nam,2015,"7,396",Southeast Asia,VNM
The Pacific,2015,"2,880",The Pacific,
Cook Islands,2015,-98,The Pacific,COK
Federated States of Micronesia,2015,-128,The Pacific,FSM
Fiji,2015,-906,The Pacific,FJI
Kiribati,2015,-101,The Pacific,KIR
Marshall Islands,2015,-55,The Pacific,MHL
Nauru,2015,-43,The Pacific,NRU
Palau,2015,-142,The Pacific,PLW
Papua New Guinea,2015,"5,735",The Pacific,PNG
Samoa,2015,-293,The Pacific,WSM
Solomon Islands,2015,-17,The Pacific,SLB
